number	author	text	title_in_memoir	year_of_text	citation_or_paraphrase	kind_of_literature	language	situation	performer	audience	place	repeat	person_who_recollects	memoirist	edition	place_of_edition	year_of_edition_min	year_of_edition_max	date_of_situation_min	date_of_situation_max	place_camp	occupation_of_memoirist	link_to_publication
816	Сакральный текст	Иисусова молитва	NA	NA	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	на работах	FALSE	Заключенный	Пономорева О.Г.	Печаль ваша в радость будет	Москва	2003	2003	1937	1947	Магадан	Протоиерей	asfcd/auth/?t=page&num=9215
1570	Сакральный текст	Кабалат шаббат	Микдаш мелех ир мэлуха…	NA	Цитируют	стихи	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Прейгерзон Ц.И.	Дневник воспоминаний бывшего лагерника (1949–1955)	Москва	2005	2005	1951	1951	Воркута, Речлаг	Преподаватель и инженер-строитель	asfcd/auth/?t=page&num=8345
1625	Сакральный текст	Молитва Восстаете от сна, припадаем Ти, Блаж	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Черных Н.А.	Последний старец : Жизнеописание архимандрита Павла (Груздева)	Ярославль	2004	2004	1950	1950	Самара, пересыльная тюрьма	Священник	asfcd/auth/?t=page&num=5272
350	Сакральный текст	Новый Завет	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Страдиньш А.Я.	Лагерный дневник: (Вятлаг – 1941–1943)	Киров	2004	2004	1942	1942	Кировская обл., Вятлаг	NA	asfcd/auth/?t=page&num=652
351	Сакральный текст	Новый Завет	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Страдиньш А.Я.	Лагерный дневник: (Вятлаг – 1941–1943)	Киров	2004	2004	1942	1942	Кировская обл., Вятлаг	NA	asfcd/auth/?t=page&num=652
968	Сакральный текст	Новый Завет	NA	NA	Цитируют	проза	немецкий	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Лука (Войно-Ясенецкий В.Ф.)	Я полюбил страдание...: Автобиография	Москва	1998	1998	1923	1923	Москва, Бутырская тюрьма	Архиепископ	asfcd/auth/?t=book&num=1363
480	Сакральный текст	Новый Завет (Евангелие от Иоанна)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Ванеев А.А.	Два года в Абези: В память о Л.П. Карсавине	Брюссель	1990	1990	1945	1954	Коми, Абезьский лагерь	Философ	asfcd/auth/?t=book&num=1699
1446	Сакральный текст	Новый Завет (Евангелие от Луки, Аве Мария)Аве Мария	NA	NA	Цитируют	песня	латынь	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Прейгерзон Ц.И.	Дневник воспоминаний бывшего лагерника (1949–1955)	Москва	2005	2005	1950	1950	Караганда, Песчлаг	NA	asfcd/auth/?t=page&num=8340
470	Сакральный текст	Новый Завет (Евангелие от Матфея)	Писание	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Ванеев А.А.	Два года в Абези: В память о Л.П. Карсавине	Брюссель	1990	1990	1952	1952	Коми, Абезьский лагерь	Епископ	asfcd/auth/?t=book&num=1699
341	Сакральный текст	Новый Завет (Евангелие от Матфея)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Груздев П.А.	Рассказы архимандрита Павла (Груздева) : Родные мои.	Ярославль	2003	2003	1941	1941	Кировская обл., Вятлаг	Архимандрит	asfcd/auth/?t=page&num=12514
