number	author	text	title_in_memoir	year_of_text	citation_or_paraphrase	kind_of_literature	language	situation	performer	audience	place	repeat	person_who_recollects	memoirist	edition	place_of_edition	year_of_edition_min	year_of_edition_max	date_of_situation_min	date_of_situation_max	place_camp	occupation_of_memoirist	link_to_publication
2320	Аверченко А.Т.	NA	Рассказы	NA	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенный	Стефановский П.П.	Развороты судьбы	Москва	2003	2003	1950	1950	Экибастуз, Степлаг	Актер	asfcd/auth/?t=page&num=9742
2407	Агапкин В.	Прощание славянки	NA	1912	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	на этапе	FALSE	Автор мемуаров	Ронкин В.Е.	На смену декабрям приходят январи…: Воспоминания бывшего бригадмильца и подпольщика, а позже политзаключенного и диссидента	Москва	2003	2003	1966	1966	Псков, пересыльная тюрьма	Инженер-технолог	asfcd/auth/?t=page&num=2833
888	Агапкин В.	Прощание славянки	NA	1912	Пересказывают	песня	русский	пение в кругу равных и блатных	заключенный, блатной	заключенный, блатной	в тюремной камере	FALSE	Заключенные	Бородин Л.И.	Без выбора: Автобиографическое повествование	Москва	2003	2003	1968	1968	Мордовия, Дубравлаг	Писатель	asfcd/auth/?t=book&num=1777
402	Агатов В.Г.	Темная ночь	Народная Песня	1943	Цитируют	песня	русский	пересказ для блатных	заключенный	блатной	в лагере	FALSE	Заключенный	Мазнев М.Ф.	Отрывки из дневника Михаила Фёдоровича Махнева, который провёл на Колыме 3600 дней	Новосибирск	NA	NA	1937	1948	Колыма	Бухгалтер	asfcd/auth/?t=page&num=6087
1165	Агатов В.Г.	Темная ночь	Народная Песня	1943	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Зубчанинов В.В.	Увиденное и пережитое	Москва	1995	1995	1941	1942	Воркутлаг, этап	Инженер	asfcd/auth/?t=book&num=470
2315	Агатов В.Г.	Темная ночь	Народная Песня	1943	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	на работах	FALSE	Заключенный	Санджиев Н.П.	Темная ночь Широклага	Элиста	1994	1994	1944	1944	Пермский край, Широклаг	NA	asfcd/auth/?t=page&num=12695
577	Агатов В.Г.	Темная ночь	Народная Песня	1943	Цитируют	песня	русский	рассказ в кругу равных	заключенный	заключенный	в лагерной больнице	FALSE	Заключенный	Любченко А.М.	Отслужил Норильску ровно полвека, а жена Валентина — сорок лет...	Москва	2006	2006	1946	1955	Норильск	Врач	asfcd/auth/?t=book&num=419
334	Агнивцев Н.Я.	Блистательный Санкт-Петербург	NA	1923	Пересказывают	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Киров, Кировская тюрьма	Работник культуры	asfcd/auth/?t=page&num=5048
335	Агнивцев Н.Я.	Букет от Эйлерса	Букет от Эллерса	1923	Пересказывают	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Киров, Кировская тюрьма	Работник культуры	asfcd/auth/?t=page&num=5048
336	Агнивцев Н.Я.	Коробка спичек	Коробка спичек Лапшина	1923	Пересказывают	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Киров, Кировская тюрьма	Работник культуры	asfcd/auth/?t=page&num=5017
1354	Адам О., Брест Дж.	Рио-Рита	NA	1932	Цитируют	песня	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Фельдгун Г.Г.	Записки лагерного музыканта	Новосибирск	1998	1998	1943	1943	Оренбургская обл., Орская ИТК № 3	NA	asfcd/auth/?t=page&num=2897
1345	Адамсон Х. (Болотин С.В.)	Бомбардировщики	Народная Песня (американская Песня Бомбардировщик)	1943	Цитируют	песня	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Фельдгун Г.Г.	Записки лагерного музыканта	Новосибирск	1998	1998	1945	1945	Оренбургская обл., Орская ИТК № 3	NA	asfcd/auth/?t=page&num=2897
2211	Адан А.	Тореадор	NA	1849	Пересказывают	опера	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Старостин Н.П.	Весна патриарха: Дело братьев Старостиных	Сыктывкар	1991	1991	1944	1945	Коми, Ухтпечлаг	Проводник	asfcd/auth/?t=page&num=4514
1436	Адоратский В.В.	Встречи с Владимиром Ильичем	NA	1933	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Обухов Г.В.	Конфискованные письма	Санкт-Петербург	1998	1998	1982	1982	Пермь, тюрьма	Инженер, литератор	asfcd/auth/?t=page&num=10081
1197	Ажаев В.	Далеко от Москвы	NA	1948	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Сосновский В.Л.	Записки	Бийск	2002	2002	1952	1953	Нижний Тагил, этап в Амурлаг	Инженер	asfcd/auth/?t=page&num=9073
845	Айтматов Ч.	Буранный полустанок	NA	1980	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Сайвальд А.	Тюремный дневник	Москва	1998	1998	1987	1987	Москва, Матросская тишина	Инспектор уголовного розыска	asfcd/auth/?t=page&num=4823
277	Айхенвальд Ю.А.	Пусть нам петли или пули…	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Фельдман А.Е.	Рядовое дело	Москва	1993	1993	1952	1953	Караганда, Кенгир	NA	asfcd/auth/?t=book&num=536
1113	Айхенвальд Ю.А.	NA	изустно передаваемые стихи	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенные	Булгаков В.А.	Письма из юности	Москва	2005	2005	1953	1953	Москва, Бутырская тюрьма	NA	asfcd/auth/?t=book&num=725
938	Аквинский Ф.	NA	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Козюра В.В.	Путешествие с образовательной целью	Харьков	2004	2004	1964	1971	Мордовские лагеря	Дипломат	asfcd/auth/?t=page&num=11594
619	Акутагава Р.	NA	NA	NA	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в психиатрической больнице	FALSE	Заключенные	Буковский В.К.	И возвращается ветер...	Нью-Йорк	1978	1978	1963	1964	Ленинград, Ленинградская психиатрическая больница	NA	asfcd/auth/?t=page&num=5414
1482	Александров Б.А.	Свадьба в Малиновке	NA	1936	Пересказывают	оперетта	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Афанасьев М.	Тяжелый путь полярной дороги	Москва	2007	2007	1950	1951	Тюменская обл., пос. Ермаково	NA	asfcd/auth/?t=page&num=6043
185	Александров Б.А.	Свадьба в Малиновке	NA	1936	Пересказывают	оперетта	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Лещенко-Сухомлина Т.И.	Из воспоминаний Моя гитара	Москва	1989	1989	1948	1960	Воркута, театр	Актриса, переводчик, автор и исполнитель песен	asfcd/auth/?t=book&num=779
160	Александров Б.А.	Свадьба в Малиновке	NA	1936	Цитируют	стихи	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Маркова Е.В.	Воркутинские заметки каторжанки Е-105	Сыктывкар	2005	2005	1947	1947	Воркута, Воркутлаг	Доктор технических наук	asfcd/auth/?t=page&num=10622
384	Александров Б.А.	Свадьба в Малиновке	NA	1936	Пересказывают	оперетта	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1945	1945	Кировская обл., Кайский район	NA	asfcd/auth/?t=page&num=5048
366	Александров Б.А.	Свадьба в Малиновке	NA	1936	Пересказывают	оперетта	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Кировская обл., Вятлаг	NA	asfcd/auth/?t=page&num=5048
1162	Александров Б.А.	Свадьба в Малиновке	NA	1936	Цитируют	оперетта	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Хромушин О.Н.	Моя Сталинская академия	Тольятти	2005	2005	1950	1950	Московская обл., Дмитровлаг	NA	asfcd/auth/?t=page&num=6673
1224	Алешковский Ю.	Товарищ Сталин, вы большой учёный...	NA	1959	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Бадаш С.Ю.	Колыма ты моя, Колыма... Док. повесть	Нью-Йорк	1986	1986	1953	1953	Норильск, Горлаг	NA	asfcd/auth/?t=page&num=1554
1936	Алигер М.И.	Зоя	NA	1942	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Мониковская Н.П.	Годы утрат и минуты счастья	Калуга	2001	2001	1947	1947	Кенгир, Степлаг	Работник культуры	asfcd/auth/?t=book&num=1156
1917	Алигер М.И.	Сказка о правде	NA	1945	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Семенова В.П.	Два пути одной дороги	Волгоград	1992	1992	1944	1946	Новосибирская обл., с. Пихтовка (ссылка)	Актриса	asfcd/auth/?t=page&num=9091
77	Алымов С.	Вася-василёк	Народная Песня	1940	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Брухис Л.И.	Чужой спектакль: книга воспоминаний	Рига	1990	1990	1943	1950	Бурят-Монгольский АССР, Джидлаг	NA	asfcd/auth/?t=page&num=11419
1629	Альвек И.	Утомленное солнце	Народная Песня	1937	Цитируют	песня	русский	пение в кругу равных и блатных	заключенный, блатной	заключенный, блатной	в лагере	FALSE	Заключенный	Морозов А.Г.	Девять ступеней в небытие	Саратов	1991	1991	1943	1944	Саратовская обл., Каменлаг, колония Деготт	Лекпом	asfcd/auth/?t=page&num=7776
1357	Альвек И.	Утомленное солнце	Народная Песня	1937	Цитируют	песня	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Фельдгун Г.Г.	Записки лагерного музыканта	Новосибирск	1998	1998	1943	1943	Оренбургская обл., Орская ИТК № 3	NA	asfcd/auth/?t=page&num=2897
761	Ан-ский С.А.	Меж двух миров (Дибук)	NA	1916	Пересказывают	проза	русский	рассказ сотрудникам внутренних органов	заключенный	сотрудник внутренних органов	на допросе	FALSE	Автор мемуаров	Кауфман А.И.	Лагерный врач : 16 лет в Советском Союзе : воспоминания сиониста.	Тель-Авив	1973	1973	1948	1948	Москва, Лубянская тюрьма	Врач	asfcd/auth/?t=page&num=3326
199	Андерсен Г.Х.	Новое платье короля	NA	1837	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной больнице	FALSE	Заключенный	Ветохин Ю.А.	Склонен к побегу	США	1983	1983	1968	1968	Днепропетровск, спецбольница	Инженер	asfcd/auth/?t=page&num=5579
1438	Андерсен Г.Х.	Новое платье короля	NA	1837	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Обухов Г.В.	Конфискованные письма	Санкт-Петербург	1998	1998	1982	1982	Пермь, тюрьма	Инженер, литератор	asfcd/auth/?t=page&num=10081
2342	Андерсен Г.Х.	Снежная королева	NA	1844	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в тюремной камере	FALSE	Автор мемуаров	Трегубов Ю.А.	Восемь лет во власти Лубянки	Франкфурт	2001	2001	1950	1950	Этап	Писатель	asfcd/auth/?t=page&num=4715
1679	Андерсен Г.Х.	NA	Сказки	NA	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в лагере	FALSE	Автор мемуаров	Никольская А.Б.	Передай дальше!	Алма-Ата	1989	1989	1938	1944	Свердловская обл., лагерь	Преподаватель и руководитель каунасских бейтаровцев	asfcd/auth/?t=page&num=13080
1317	Андерсен Г.Х.	NA	Сказки	NA	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Никольская А.Б.	Передай дальше!	Алма-Ата	1989	1989	1938	1944	Свердловская обл., лагерь	Переводчик, литератор	asfcd/auth/?t=page&num=13080
1420	Андерсон Ш.	NA	NA	NA	Цитируют	проза	английский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Тимофеев Л.	Моление о чаше	Париж	1989	1989	1985	1986	Пермский край, Кучино, 36-й Пермский политический лагерь	Экономист, писатель, журналист	asfcd/auth/?t=page&num=1093
2496	Андреев Д.	Странники в ночи	NA	1947	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Носова О.П.	В объятиях удава: Воспоминания узницы ГУЛАга	Санкт-Петербург	2001	2001	1949	1950	Мордовия, Явас	NA	asfcd/auth/?t=page&num=7323
2504	Андреев Д.	NA	NA	NA	Пересказывают	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Носова О.П.	В объятиях удава: воспоминания узницы ГУЛАГа	Санкт-Петербург	2001	2001	1949	1949	Мордовия, Явас	NA	asfcd/auth/?t=page&num=7323
2505	Андреев Д.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Носова О.П.	В объятиях удава: Воспоминания узницы ГУЛАга	Санкт-Петербург	2001	2001	1949	1950	Мордовия, Явас	NA	asfcd/auth/?t=page&num=7323
2507	Андреев Д.	NA	NA	NA	Пересказывают	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Носова О.П.	В объятиях удава: Воспоминания узницы ГУЛАга	Санкт-Петербург	2001	2001	1948	1950	Мордовия, Явас	NA	asfcd/auth/?t=page&num=7323
1151	Андреев Д.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в психиатрической больнице	FALSE	Заключенные	Рафальский В.П.	Репортаж из ниоткуда	Москва	1995	1995	1957	1957	Москва, Институт им. Сербского	NA	asfcd/auth/?t=page&num=12581
549	Андреев Л.Н.	Анфиса	NA	1909	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в ссылке	FALSE	Автор мемуаров	Седов С.Л.	Милая моя ресничка	Санкт-Петербург	2006	2006	1935	1935	Красноярск, ссылка	Инженер-механик, преподаватель	asfcd/auth/?t=page&num=1482
551	Андреев Л.Н.	Дни нашей жизни	NA	1908	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в ссылке	FALSE	Автор мемуаров	Седов С.Л.	Милая моя ресничка	Санкт-Петербург	2006	2006	1935	1935	Красноярск, ссылка	Инженер-механик, преподаватель	asfcd/auth/?t=page&num=1482
552	Андреев Л.Н.	Екатерина Ивановна	NA	1912	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в ссылке	FALSE	Автор мемуаров	Седов С.Л.	Милая моя ресничка	Санкт-Петербург	2006	2006	1935	1935	Красноярск, ссылка	Инженер-механик, преподаватель	asfcd/auth/?t=page&num=1482
2106	Андреев Л.Н.	Рассказ о семи повешенных	NA	1908	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Афанасова (Колюбакина) Н.А.	Жизненный путь	Санкт-Петербург	2005	2005	1938	1938	Ленинград, тюрьма на Шпалерной	Врач	asfcd/auth/?t=page&num=1083
555	Андреев Л.Н.	Gaudeamus	NA	1910	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в ссылке	FALSE	Автор мемуаров	Седов С.Л.	Милая моя ресничка	Санкт-Петербург	2006	2006	1935	1935	Красноярск, ссылка	Инженер-механик, преподаватель	asfcd/auth/?t=page&num=1482
1808	Анненкова П.Е.	Воспоминания	воспоминания Полины Гебль	1875	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Астахов П.П.	Зигзаги судьбы. Из жизни советского военнопленного и советского зэка	Москва	2005	2005	1949	1950	Москва, Бутырская тюрьма	Техник-конструктор	asfcd/auth/?t=page&num=5385
474	Анненский И.Ф.	Среди миров	NA	1909	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Ванеев А.А.	Два года в Абези: В память о Л.П. Карсавине	Брюссель	1990	1990	1945	1954	Коми, Абезьский лагерь	Поэт	asfcd/auth/?t=book&num=1699
2503	Антокольский П.А.	Сын	NA	1943	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Носова О.П.	В объятиях удава: воспоминания узницы ГУЛАГа	Санкт-Петербург	2001	2001	1949	1949	Мордовия, Явас	NA	asfcd/auth/?t=page&num=7323
1426	Антонич Б.-Д. В.	NA	То чи струны, чи нэ струны, то чи може вистря шпаг...	1930	Цитируют	стихи	украинский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Бородин Л.И.	Без выбора	Москва	2003	2003	1983	1983	Пермский край, лагерь Пермь-38	Писатель, поэт	asfcd/auth/?t=page&num=7503
1428	Антонич Б.-Д. В.	NA	Верлибры	1930	Цитируют	стихи	украинский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Бородин Л.И.	Без выбора	Москва	2003	2003	1983	1983	Пермский край, лагерь Пермь-40	Поэт, диссидент	asfcd/auth/?t=page&num=7503
34	Анушкин	Конец господ Ржевских	NA	1927	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Дасковский А.А.	О том, что не должно забываться. Воспоминания 1950-1956 гг.	Москва, Вашингтон	2005	2005	1931	1933	Архангельская обл., Вайгач	NA	asfcd/auth/?t=book&num=1072
1373	Апухтин А.Н.	Пара гнедых, запряжённых зарёю...	NA	1870	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Бадаш С.Ю.	Колыма ты моя, Колыма... Док. повесть	Нью-Йорк	1986	1986	1953	1955	Колыма, особый лагерь	NA	asfcd/auth/?t=page&num=1551
2345	Апухтин А.Н.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	на этапе	FALSE	Заключенный	Маевская И.В.	Вольное поселение	Москва	1993	1993	1949	1949	Этап	Врач	asfcd/auth/?t=page&num=719
519	Арбузов А.Н.	Таня	NA	1939	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Колпикова Е.Ф.	Мы из Гулага	Москва	2009	2009	1941	1946	Коми, Интинский ИТЛ	NA	asfcd/auth/?t=book&num=2160
662	Аристофан	NA	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Улановская Н.М., Улановская М.А.	История одной семьи: Мемуары	Санкт-Петербург	2003	2003	1951	1951	Москва, Лефортовская тюрьма	Правозащитница	asfcd/auth/?t=page&num=11879
566	Аркадьев И.	Если можешь, прости	NA	1940	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Сновский А.А.	Выжить и помнить	Красноярск	2008	2008	1949	1953	Красноярский край, Игарка	Актриса	asfcd/auth/?t=page&num=13206
2032	Арлен М.	Зеленая шляпа	Зеленая шляпка	1924	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Дасковский А.А.	О том, что не должно забываться. Воспоминания 1950-1956 гг.	Москва, Вашингтон	2005	2005	1951	1956	Мурманская обл., Туломская ГЭС	NA	asfcd/auth/?t=book&num=1072
51	Арманд П.	Тучи над городом встали...	NA	1937	Цитируют	песня	русский	пение блатными	блатной	заключенный, блатной	в лагере	FALSE	Заключенный	Гольдштейн П.Ю.	Точка опоры: 17 лет в лагерях жизни и смерти	Иерусалим	1982	1982	1939	1939	Архангельская обл., Каргопольлаг	NA	asfcd/auth/?t=page&num=8508
996	Арсеньев В.К.	Дерсу Узала	NA	1923	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Сокирко В.В.	Жизнь и поражения советского инакомыслящего. Поиски взаимопонимания. Т. 8. До тюрьмы и в тюрьме	Москва	2015	2015	1980	1980	Москва, Бутырская тюрьма	Инженер, правозащитник	asfcd/auth/?t=page&num=13295
1021	Архангельский А.	Вы жертвою пали в борьбе роковой...	Народная Песня	1878	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенные	Клементьев В.Ф.	В большевицкой Москве	Москва	1998	1998	1919	1919	Москва, Бутырская тюрьма	NA	asfcd/auth/?t=book&num=19
1814	Архангельский А.	Вы жертвою пали в борьбе роковой...	Народная Песня	1878	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Рубинштейн В.О.	Из воспоминаний	Санкт-Петербург	1994	1994	1923	1923	Соловецкий лагерь	NA	asfcd/auth/?t=page&num=921
1921	Архангельский А.	Вы жертвою пали в борьбе роковой...	Народная Песня	1878	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Смирнов В.И.	Народ в тюрьме (1930-1931)	Сергиев Посад	2011	2011	1931	1931	Архангельская обл., Исакогорка	NA	asfcd/auth/?t=page&num=13276
778	Асеев Н.Н.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Коган М.И.	Исповедь строптивого адвоката	Москва	2002	2002	1944	1944	Москва, Лубянская тюрьма	Писатель	asfcd/auth/?t=page&num=8284
2378	Асеев Н.Н.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Мищенко Л.Г.	Пока я помню...	Москва	2006	2006	1942	1942	Германия, Фюрстенберг-на-Одере, этап	Связист	asfcd/auth/?t=page&num=3572
775	Астров В.Н.	NA	Роман о смоленских гимназистах, организовывавших первые марксистские кружки	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Маргулис М.Д.	Еврейская камера Лубянки	Иерусалим	1996	1996	1950	1950	Москва, Лубянская тюрьма	Писатель	asfcd/auth/?t=book&num=88
26	Афиногенов А.Н.	Волчья тропа	NA	1928	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Дасковский А.А.	О том, что не должно забываться. Воспоминания 1950-1956 гг.	Москва, Вашингтон	2005	2005	1931	1933	Архангельская обл., Вайгач	NA	asfcd/auth/?t=book&num=1072
95	Ахматова А.А.	Реквием	NA	1963	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Романов А.И.	Время собирать камни	Саратов	1996	1996	1971	1971	Владимир, Владимирская тюрьма	NA	asfcd/auth/?t=page&num=2247
466	Ахматова А.А.	Слава миру!	NA	1950	Цитируют	стихи	русский	чтение книги про себя	заключенный	нет аудитории	в лагерной больнице	FALSE	Автор мемуаров	Пунин Н.Н.	Мир светел любовью: дневники, письма	Москва	2000	2000	1950	1950	Коми, Абезьский лагерь	Искусствовед	asfcd/auth/?t=page&num=6020
418	Ахматова А.А.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Адамова-Слиозберг О.Л.	Путь	Москва	1993	1993	1939	1939	Колыма	Экономист	asfcd/auth/?t=page&num=3182
1472	Ахматова А.А.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Богомягков Н.И.	Вероятнее всего... расстреляли: Из воспоминаний	Санкт-Петербург	2001	2001	1958	1960	Иркутская обл., Тайшет, Озерлаг	Учитель истории, инженер-плановик	asfcd/auth/?t=page&num=7932
1581	Ахматова А.А.	NA	NA	NA	Пересказывают	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Боровский О.Б.	Рентген сторого режима	Москва	2009	2009	1949	1951	Воркута, Речлаг	NA	asfcd/auth/?num=13210&t=page
538	Ахматова А.А.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Войтоловская А.Л.	По следам судьбы моего поколения	Сыктывкар	1991	1991	1938	1939	Коми, Кочмес	NA	asfcd/auth/?t=book&num=862
2475	Ахматова А.А.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	на этапе	FALSE	Гинзбург Е.С.	Гранкина Н.В.	Записки вашей современницы	Москва	1989	1989	1938	1939	Свердловск-БАМ-Нерчинск-Хабаровск, этап	Писательница	asfcd/auth/?t=page&num=4778
137	Ахматова А.А.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенные	Маркова Е.В.	Воркутинские заметки каторжанки Е-105	Сыктывкар	2005	2005	1946	1946	Воркута, Воркутлаг	Доктор технических наук	asfcd/auth/?t=page&num=10618
598	Ахматова А.А.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенные	Розина А.Я.	У памяти в гостях	Санкт-Петербург	1993	1993	1937	1937	Ленинград, Арсенальная тюрьма	NA	asfcd/auth/?t=page&num=4655
97	Ахматова А.А.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Романов А.И.	Время собирать камни	Саратов	1996	1996	1971	1971	Владимир, Владимирская тюрьма	NA	asfcd/auth/?t=page&num=2247
1368	Ахматова А.А.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Сандлер А.С., Этлис М.М.	Современники ГУЛАГа	Магадан	1991	1991	1952	1952	Колыма, Особлаг, пересылочный лагерь в Магадане	NA	asfcd/auth/?t=page&num=680
14	Ахматова А.А.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	на поселении	FALSE	Ссыльный	Смирнов В.И.	Цветок клюквы и веточка карликовой берёзы : Судьбы краеведов	Сергиев Посад	2016	2016	1931	1931	Архангельск	Философ	asfcd/auth/?t=page&num=13277
1665	Ахматова А.А.	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных и блатным	заключенный	заключенный, блатной	в лагере	FALSE	Автор мемуаров	Сосновский В.Л.	Записки	Бийск	2002	2002	1945	1955	Свердловская обл., Богословлаг	Инженер	asfcd/auth/?t=page&num=9070
